country,resort,hotel,price (£),distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm),price ($),ratings,num_reviews,relative_score,value_metric,proportion_blues,proportion_reds,proportion_blacks
italy,passo-tonale,hotel-cielo-blu,694.0,,1883.0,100.0,30,3,19,8,11,15,4,30,https://www.igluski.com/ski-resorts/italy/passo-tonale/hotel-cielo-blu_4187?holidayId=58546106,58,30.0,400.0,30.0,400.0,30.0,400.0,853.62,4.1,82,336.2,0.39385206532180594,0.36666666666666664,0.36666666666666664,0.13333333333333333
italy,courmayeur,hotel-del-viale,695.0,,1224.0,100.0,16,5,8,3,6,12,4,22,https://www.igluski.com/ski-resorts/italy/courmayeur/hotel-del-viale_1079?holidayId=58493357,46,40.0,100.0,40.0,100.0,41.0,117.0,854.85,4.0,212,848.0,0.991986898286249,0.2727272727272727,0.2727272727272727,0.18181818181818182
italy,sauze-d-oulx,hotel-martin,695.0,,1503.0,400.0,89,0,35,54,31,97,32,160,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-martin_4856?holidayId=58509432,35,150.0,220.0,35.0,300.0,96.0,280.0,854.85,4.5,14,63.0,0.07369713984909633,0.19375,0.19375,0.2
bulgaria,bansko,st-ivan-rilski-hotel-spa--apartments,698.0,1200.0,935.0,70.0,24,1,7,16,5,8,1,14,https://www.igluski.com/ski-resorts/bulgaria/bansko/st-ivan-rilski-hotel-spa--apartments_27205?holidayId=58470151,,0.0,70.0,5.0,75.0,5.0,77.0,858.54,4.4,1514,6661.6,7.759219139469333,0.35714285714285715,0.35714285714285715,0.07142857142857142
italy,la-thuile,hotel-du-glacier,700.0,750.0,1441.0,150.0,36,1,16,19,13,14,6,33,https://www.igluski.com/ski-resorts/italy/la-thuile/hotel-du-glacier_3779?holidayId=58400411,38,15.0,90.0,190.0,225.0,174.0,263.0,861.0,4.7,120,564.0,0.6550522648083623,0.3939393939393939,0.3939393939393939,0.18181818181818182
andorra,pas-de-la-casa,hotel-grand-pas,701.0,,2050.0,193.0,63,4,28,26,40,37,23,100,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-grand-pas_39187?holidayId=58449666,,15.0,40.0,80.0,165.0,52.0,140.0,862.23,4.0,102,408.0,0.4731916078076615,0.4,0.4,0.23
austria,rauris,hotel-wieshof,701.0,150.0,950.0,25.0,10,2,1,5,7,3,1,11,https://www.igluski.com/ski-resorts/austria/rauris/hotel-wieshof_39268?holidayId=58376742,42,0.0,0.0,61.0,151.0,58.0,163.0,862.23,4.5,54,243.0,0.28182735465015135,0.6363636363636364,0.6363636363636364,0.09090909090909091
andorra,pas-de-la-casa,hotel-meta,702.0,500.0,2050.0,193.0,63,4,28,26,40,37,23,100,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-meta_39572?holidayId=58386839,,15.0,40.0,80.0,165.0,52.0,140.0,863.46,4.6,82,377.2,0.43684710351377015,0.4,0.4,0.23
austria,bad-hofgastein,apartments-aurora,704.0,,870.0,208.0,49,11,19,18,16,38,6,60,https://www.igluski.com/ski-resorts/austria/bad-hofgastein/apartments-aurora_38020?holidayId=58540374,,0.0,100.0,48.0,155.0,45.0,176.0,865.92,4.3,25,107.5,0.12414541759053954,0.26666666666666666,0.26666666666666666,0.1
italy,bardonecchia,hotel-ca-fiore,712.0,,1312.0,140.0,23,0,9,14,17,24,1,42,https://www.igluski.com/ski-resorts/italy/bardonecchia/hotel-ca-fiore_22811?holidayId=58518566,74,70.0,170.0,60.0,200.0,47.0,177.0,875.76,4.4,133,585.2,0.6682196035443501,0.40476190476190477,0.40476190476190477,0.023809523809523808
